%column 1: human-friendly name, in quotes
%column 2: python identifier for the category
%column 3: Wikidata id of the wikipedia page
%column 4: Wikipedia page (if close fuzzy match with one of the Math wikipedia pages as queried with Tom's select)
%column 5: fuzzy match score: number of characters that did not match
"objects" sage.categories.objects.Objects   
"commutative algebras" sage.categories.commutative_algebras.CommutativeAlgebras   
"crystals" sage.categories.crystals.Crystals   
"regular crystals" sage.categories.regular_crystals.RegularCrystals   
"finitely generated magmas" sage.categories.finitely_generated_magmas.FinitelyGeneratedMagmas   
"finitely generated semigroups" sage.categories.finitely_generated_semigroups.FinitelyGeneratedSemigroups   
"finitely generated enumerated groups" sage.categories.category.JoinCategory   
"complex reflection or generalized coxeter groups" sage.categories.complex_reflection_or_generalized_coxeter_groups.ComplexReflectionOrGeneralizedCoxeterGroups   
"generalized coxeter groups" sage.categories.generalized_coxeter_groups.GeneralizedCoxeterGroups   
"coxeter groups" sage.categories.coxeter_groups.CoxeterGroups Q7874246 Coxeter_group 1.0
"Weyl groups" sage.categories.weyl_groups.WeylGroups Q768074 Weyl_group 1.0
"lattice posets" sage.categories.lattice_posets.LatticePosets   
"finite posets" sage.categories.finite_posets.FinitePosets   
"finite lattice posets" sage.categories.finite_lattice_posets.FiniteLatticePosets   
"partially ordered monoids" sage.categories.partially_ordered_monoids.PartiallyOrderedMonoids   
"highest weight crystals" sage.categories.highest_weight_crystals.HighestWeightCrystals   
"permutation groups" sage.categories.permutation_groups.PermutationGroups   
"finite finitely generated semigroups" sage.categories.finitely_generated_semigroups.FinitelyGeneratedSemigroups.Finite   
"finite enumerated permutation groups" sage.categories.finite_permutation_groups.FinitePermutationGroups   
"filtered coalgebras" sage.categories.coalgebras.Coalgebras.Filtered   
"graded coalgebras" sage.categories.graded_coalgebras.GradedCoalgebras   
"filtered coalgebras with basis" sage.categories.coalgebras_with_basis.CoalgebrasWithBasis.Filtered   
"filtered hopf algebras with basis" sage.categories.filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis   
"graded coalgebras with basis" sage.categories.graded_coalgebras_with_basis.GradedCoalgebrasWithBasis   
"graded hopf algebras with basis" sage.categories.graded_hopf_algebras_with_basis.GradedHopfAlgebrasWithBasis   
"finite crystals" sage.categories.finite_crystals.FiniteCrystals   
"classical crystals" sage.categories.classical_crystals.ClassicalCrystals   
"algebra modules" sage.categories.algebra_modules.AlgebraModules   
"algebra ideals" sage.categories.algebra_ideals.AlgebraIdeals   
"G-sets for Symmetric group of order 8! as a permutation group" sage.categories.g_sets.GSets   
"pointed sets" sage.categories.pointed_sets.PointedSets   
"quotient fields" sage.categories.quotient_fields.QuotientFields   
"Lie algebras" sage.categories.lie_algebras.LieAlgebras   
"affine weyl groups" sage.categories.affine_weyl_groups.AffineWeylGroups   
"discrete valuation fields" sage.categories.discrete_valuation.DiscreteValuationFields   
"complete discrete valuation fields" sage.categories.complete_discrete_valuation.CompleteDiscreteValuationFields   
"discrete valuation rings" sage.categories.discrete_valuation.DiscreteValuationRings   
"complete discrete valuation rings" sage.categories.complete_discrete_valuation.CompleteDiscreteValuationRings   
"ring ideals" sage.categories.ring_ideals.RingIdeals   
"matrix algebras" sage.categories.matrix_algebras.MatrixAlgebras   
"schemes" sage.categories.schemes.Schemes   
"complex reflection groups" sage.categories.complex_reflection_groups.ComplexReflectionGroups   
"finite complex reflection groups" sage.categories.finite_complex_reflection_groups.FiniteComplexReflectionGroups   
"well generated finite complex reflection groups" sage.categories.finite_complex_reflection_groups.FiniteComplexReflectionGroups.WellGenerated   
"finite generalized coxeter groups" sage.categories.generalized_coxeter_groups.GeneralizedCoxeterGroups.Finite   
"finite coxeter groups" sage.categories.finite_coxeter_groups.FiniteCoxeterGroups   
"finite Weyl groups" sage.categories.finite_weyl_groups.FiniteWeylGroups   
"modular abelian varieties" sage.categories.modular_abelian_varieties.ModularAbelianVarieties   
"set algebras" sage.categories.sets_cat.Sets.Algebras   
"magma algebras" sage.categories.magmas.Magmas.Algebras   
"semigroup algebras" sage.categories.semigroups.Semigroups.Algebras   
"unital magma algebras" sage.categories.magmas.Magmas.Unital.Algebras   
"monoid algebras" sage.categories.monoids.Monoids.Algebras   
"group algebras" sage.categories.group_algebras.GroupAlgebras   
"commutative algebra ideals" sage.categories.commutative_algebra_ideals.CommutativeAlgebraIdeals   
"vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis   
"Hecke modules" sage.categories.hecke_modules.HeckeModules   
"number fields" sage.categories.number_fields.NumberFields   
"infinite sets" sage.categories.sets_cat.Sets.Infinite   
"infinite enumerated sets" sage.categories.infinite_enumerated_sets.InfiniteEnumeratedSets   
"function fields" sage.categories.function_fields.FunctionFields   
"commutative ring ideals" sage.categories.commutative_ring_ideals.CommutativeRingIdeals   
"groupoid" sage.categories.groupoid.Groupoid   
"simplicial complexes" sage.categories.simplicial_complexes.SimplicialComplexes   
"chain complexes" sage.categories.chain_complexes.ChainComplexes   
"Cartesian products of sets" sage.categories.sets_cat.Sets.CartesianProducts   
"Cartesian products of magmas" sage.categories.magmas.Magmas.CartesianProducts   
"Cartesian products of additive magmas" sage.categories.additive_magmas.AdditiveMagmas.CartesianProducts   
"Cartesian products of magmas and additive magmas" sage.categories.magmas_and_additive_magmas.MagmasAndAdditiveMagmas.CartesianProducts   
"Cartesian products of distributive magmas and additive magmas" sage.categories.distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas.CartesianProducts   
"Cartesian products of semigroups" sage.categories.semigroups.Semigroups.CartesianProducts   
"Cartesian products of unital magmas" sage.categories.magmas.Magmas.Unital.CartesianProducts   
"Cartesian products of monoids" sage.categories.monoids.Monoids.CartesianProducts   
"Cartesian products of commutative magmas" sage.categories.magmas.Magmas.Commutative.CartesianProducts   
"Cartesian products of additive unital additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.CartesianProducts   
"Cartesian products of additive inverse additive unital additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.AdditiveInverse.CartesianProducts   
"Cartesian products of additive commutative additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveCommutative.CartesianProducts   
"Cartesian products of additive semigroups" sage.categories.additive_semigroups.AdditiveSemigroups.CartesianProducts   
"Cartesian products of commutative additive groups" sage.categories.commutative_additive_groups.CommutativeAdditiveGroups.CartesianProducts   
"Cartesian products of commutative rings" sage.categories.commutative_rings.CommutativeRings.CartesianProducts   
"signed tensor products of graded algebras" sage.categories.graded_algebras.GradedAlgebras.SignedTensorProducts   
"signed tensor products of graded algebras with basis" sage.categories.graded_algebras_with_basis.GradedAlgebrasWithBasis.SignedTensorProducts   
"homsets" sage.categories.homsets.Homsets   
"homsets of right modules" sage.categories.homsets.HomsetsOf   
"homsets of modules" sage.categories.modules.Modules.Homsets   
"homsets of modules with basis" sage.categories.modules_with_basis.ModulesWithBasis.Homsets   
"Cartesian products of modules" sage.categories.modules.Modules.CartesianProducts   
"Cartesian products of modules with basis" sage.categories.modules_with_basis.ModulesWithBasis.CartesianProducts   
"tensor products of modules" sage.categories.modules.Modules.TensorProducts   
"tensor products of modules with basis" sage.categories.modules_with_basis.ModulesWithBasis.TensorProducts   
"duals of modules with basis" sage.categories.modules_with_basis.ModulesWithBasis.DualObjects   
"GAP objects" categories.objects.GAP   
"GAP sets" sage.categories.sets_cat.Sets.GAP   
"GAP additive magmas" sage.categories.additive_magmas.AdditiveMagmas.GAP   
"GAP additive semigroups" sage.categories.additive_semigroups.AdditiveSemigroups.GAP   
"additive unital GAP additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.GAP   
"GAP additive monoids" sage.categories.additive_monoids.AdditiveMonoids.GAP   
"GAP additive groups" sage.categories.additive_groups.AdditiveGroups.GAP   
"additive commutative GAP additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveCommutative.GAP   
"GAP commutative additive semigroups" sage.categories.commutative_additive_semigroups.CommutativeAdditiveSemigroups.GAP   
"GAP modules" sage.categories.modules.Modules.GAP   
"GAP modules with basis" sage.categories.modules_with_basis.ModulesWithBasis.GAP   
"finite dimensional cellular algebras with basis" sage.categories.finite_dimensional_algebras_with_basis.FiniteDimensionalAlgebrasWithBasis.Cellular   
"finite set algebras" sage.categories.finite_sets.FiniteSets.Algebras   
"finite group algebras" sage.categories.finite_groups.FiniteGroups.Algebras   
"GAP magmas" sage.categories.magmas.Magmas.GAP   
"GAP semigroups" sage.categories.semigroups.Semigroups.GAP   
"unital GAP magmas" sage.categories.magmas.Magmas.Unital.GAP   
"GAP monoids" sage.categories.monoids.Monoids.GAP   
"finite GAP sets" sage.categories.finite_sets.FiniteSets.GAP   
"finite GAP semigroups" sage.categories.finite_semigroups.FiniteSemigroups.GAP   
"finite GAP monoids" sage.categories.finite_monoids.FiniteMonoids.GAP   
"inverse unital GAP magmas" sage.categories.magmas.Magmas.Unital.Inverse.GAP   
"GAP groups" sage.categories.groups.Groups.GAP   
"finite GAP groups" sage.categories.finite_groups.FiniteGroups.GAP   
"finite dimensional vector spaces" sage.categories.vector_spaces.VectorSpaces.FiniteDimensional   
"duals of vector spaces" sage.categories.vector_spaces.VectorSpaces.DualObjects   
"Cartesian products of vector spaces" sage.categories.vector_spaces.VectorSpaces.CartesianProducts   
"tensor products of vector spaces" sage.categories.vector_spaces.VectorSpaces.TensorProducts   
"filtered vector spaces" sage.categories.vector_spaces.VectorSpaces.Filtered   
"graded vector spaces" sage.categories.vector_spaces.VectorSpaces.Graded   
"tensor products of algebras" sage.categories.algebras.Algebras.TensorProducts   
"tensor products of commutative algebras" sage.categories.commutative_algebras.CommutativeAlgebras.TensorProducts   
"tensor products of crystals" sage.categories.crystals.Crystals.TensorProducts   
"tensor products of regular crystals" sage.categories.regular_crystals.RegularCrystals.TensorProducts   
"subquotients of sets" sage.categories.sets_cat.Sets.Subquotients   
