Verband
kommutativer Ring
Halbgruppe
Gruppe
Inversenfunktion
einfach
Erzeugendensystem
erzeugt
erzeugte Untergruppe
erzeugt
Euklidischer Ring
distributiv
linke Nebenklasse
rechte Nebenklasse
konjugiert
Konjugationshomomorphismus
Konjugation
zyklische Gruppe
Gruppe
Division
algebraisch
linker Nullteiler
rechter Nullteiler
Nullteiler
homogen
rechts unitär
Rechtseinheit,rechts neutrales Element
Matroid
Austauscheigenschaft
abgeschlossen
Ordnung,Elementordnung
unendliche Ordnung
Grundmenge
innere Verknüpfung
Binar,Magma,Gruppoid,Operativ
Unabhängigkeitssystem
unabhängig
abhängig
beschränkt
Polynomgleichung
Bewertungsfunktion
Ringoid
Addition
Multiplikation
distributiv
prim,Primideal
Quasigruppe
linke division
rechte division
linken Teiler,link teilbar
linkes Vielfaches
rechten Teiler,rechts teilbar
rechtes Vielfaches
Teiler,teilbar
Vielfachen
triviale divisor
echter Teiler
Teilring
Ringerweiterung
echten Teilring
echte Ringerweiterung
algebraisch abgeschlossen
Klassenzahl
Wurzel
Monoid
Ordnung
frei
generierende Menge,Generator
linksinverses
rechtsinverses
inverses
linkskürzbar,rechtsregulär,linksregulär
rechtskürzbar
kürzbar,regulär
Kommutator
Permutationsgruppe
degeneriert,trivial
Boolesche Algebra
idempotent
Abelsche Gruppe,kommutative Gruppe
Loop
spezielle lineare Gruppe
Potenz
Halbverband
rechtes Ideal
linkes Ideal
Ideal,beidseitiges Ideal
trivial
kommutieren
kommutativ
Teilkörper
Erweiterung
über,Körpererweiterung
Untergruppe
Gruppenerweiterung,Obergruppe
echte Untergruppe
triviale Untergruppe
Ring
erzeugten Unterring
erzeugt
assoziativ
linear
Polynom
Monom
Grad
Grad
führender Koeffizient,Leitkoeffizient
monisch,normiert
konstant
quadratisch
kubisch
normal
prim
Moufang loop
Moufang Eigenschaft
komplementär
Komplement
links unitär
links neutrales Element,Linkseinheit
kommutatives Monoid,Abelsches Monoid
irreduzibel
Ring
additive Struktur
multiplikative Struktur
Addition
additives Inverse
Multiplikation
Null
Eins
Subtraktion
Band
prim,Primideal
Fischer–Griess Monster,Friendly Giant,Monstergruppe
allgemeine lineare Gruppe
unitär
Einheit,neutrales Element
Konjugiertheit
Konjugationsklasse
Nullstelle
symmetrische Gruppe
symmetrische Gruppe der Ordnung
Halbring
Körper
multiplikative Inverse
Division
Faktorgruppe,Quotientengruppe
natürliche Logarithmus
konvergiert
Grenzwert,Limes
konvergent
gleichmäßig konvergent
konvergiert
Grenzwert,Limes
offene Kugel
geschlossene Kugel
stetig
stetig
diskrete Metrik
vollständig
vollständiger Raum
holomoprph
gleichmäßig stetig
Teilfolge
Riemannsche Summe
linke Riemannsche Summe
rechte Riemannsche Summe
mittlere Riemannsche Summe
obere Riemannsche Summe,obere Darbouxsche Summe
untere Darbouxsche Summe,untere Riemannsche Summe
differenzierbar
Ableitung
differenzierbar auf
Ableitungsfunktion,Ableitung
Lagrange Notation
Leibniz Notation
Eulers Notation
Newton Notation
Riemann integral
Riemann integrierbar
dekadische Logarithmus,Zehnerlogarithmus
induzierte Topologie
Logarithmus Funktion,Logarithmus
Basis
$n$te Ableitung
erste Ableitung
zweite Ableitung
dritte Ableitung
$n$ mal differenzierbar
$n$ mal differenzierbar
$n$ mal stetig differenzierbar
unendlich differenzierbar,glatt
Noethersch,terminierend
Folge
unendliche Folge
endliche Folge
Länge
Potenzreihe
Supremum
Infimum
supremum
infimum
analytisch
punktweise konvergent
binäre Logarithmus
logistische Funktion
Maximalwert
Mittlepunktwert
Wachstum
standard logistische Funktion
Limes superior
Limes inferior
reelle Funktion,reellwertige Funktion
unendliche absteigende Kette
Zerlegung
Norm,Feinheit
Taylorreihe
Mclaurinreihe
positiv definit
Metrik,Abstandsfunktion
Definitheit
Symmetrie
Dreiecksungleichung
metrischen Raum
Grundmenge
normalisierte Exponentialfunktion,Softmax
Basis
standard Softmax
obere Schranke
untere Schranke
Cauchyfolge
unendliche Reihe,Reihe
unendliche formale Summe
Partialsumme
Partialsummenfolge
konvergent
Gaußsche Ebene,Gaußebene
isoton,monoton steigend,antiton,ordnungserhaltend,ordnungsumkehrend,mononton fallend,monoton wachsend
monoton schrumpfend
strikt monoton wachsend
strikt monoton fallend
monoton
Lipschitz stetig
Lipschitz Konstante
Gebiet,komplexes Gebiet
homotopieäquivalent
Abschlussoperator,Kuratowski Abschlussoperator
Erhaltung nullärer Vereinigung
Extensivität
Erhaltung binärer Vereinigungen
Idempotenz
Prä Abschlussoperator
abgeschlossen
Häufungspunkt
Zusammenhangskomponente
konvergiert
Hausdorff Grenzwert
Produkttopologie
finer,stärker,grö"ser
schwächer,kleiner,gröber
Hausdorff Topologie
Hausdorffraum
diskrete Topologie
diskreten topologischen Raum
Klumpentopologie,chaotische Topologie,indiskrete Topologie,triviale Topologie
indiskreter Raum
homotop
Homotopie
Überdeckung
Teilüberdeckung
unzusammenhängend
zusammenhängend
Umgebung
Umgebung
Umgebungssystem
lokale Basis
topologischer Raum
Grundmenge
Topologie
geschlossen,abgeschlossen
abgeschloffen
topologische Gruppe
Rand
Randpunkt
Abschluss
Innere
stetig
stetig in
Basis
generiert
Unterraumtopologie,relative-,induzierte-,Teilraumtopologie,Spurtopologie
kompakt
Homöomorphismus
homöomorph
total unzusammenhängend
Lebesgue Identität
Ramanujan 6 10 8 Identität
Cassini Identität
Catalan Identität
Nutzerschnittstelle
Nutzer
Universalrechner
UTM,universelle Turing Machine
Konstante
Namen
Datensprache
Programmierparadigma
XXXX XXXX
XXXX XXXX
XXXX XXXX
XXXX XXXX
XXXX XXXX
XXXX XXXX
XXXX XXXX
elektronisches Dokument
Dokumentenbetrachters
rekursiv
Rekursion
wechselseitig rekursiv
rekursiv
Medien,Medium
Medieninhalt
OOP
Seiteneffekt
Algorithmus
arithmetisch/logischen Einheit,ALU
Hauptprozessor,ZVE,Prozessor,zentrale Verarbeitungseinheit
Leitwerk,Steuerwerk
Kennzeichen,Bezeichner,Handle,Identifikator
Speichergerät
Kontrollfluss
Symbol
Operator
Sekundarspeicher,externer Speicher
Betriebsmittel,Systemressource,Ressource
Compiler,Kompiler,Übersetzer
Quellsprache
Zielsprache
service
Client Server Architektur,client server model
Server
Client
Klasse
Datei
Referenze
referenziert
dereferenzieren
Dictionary,assoziatives Datenfeld
